Cu-L system
 m=3  s=14
 Cu  L       OH        LOG(BETA)
 1   0       0            0
 0   1       0            0   
 0   0       1            0    
 1   0       1            6.3  
 1   0       2            12.8
 1   0       3            14.5
 1   0       4            15.6
 2   0       2            17.28
 0   1      -1           -4.66
 0   1      -2           -16.05
 0   1      -3           -28.23
 1   1       0            10.63
 2   1       0            16.68
 0   0      -1           -14
