NI-NH4-system
 m=4 s=19
 NI NO3    NH4  H   LOG(BET)
1    0       0  0     0
1    1       0  0     0.4
1    2       0  0     -0.6
1    0       0  -1    -9.9
1    0       0  -2    -6
1    0       0  -3    -3
1    0       0  -4    -2
2    0       0  -1   -10.7
1    0       0  -2   -29.3
1    0       1  -1    2.72
1    0       2  -2    4.89
1    0       3  -3    6.55
1    0       4  -4    7.67
1    0       5  -5    8.34
1    0       6  -6    8.31
0    0       0   1     0
0    1       0   0     0
0    0       1   0     0
0    0       1   -1    0
