Zn-Ca-PO4-system
 m=4 s=18
      Zn    Ca   PO4     H   			    LOG(BET)
     0.000   0   0.000   1.000                        +0.00
     0.000   0   1.000   0.000                        +0.00
     1.000   0   0.000   0.000                        +0.00
     0       1   0       0                             0
     1.000   0   1.000   1.000                        +14.14
     1.000   0   1.000   2.000                        +18.66
     1.000   0   0.000  -1.000                        -8.96
     1.000   0   0.000  -2.000                        -16.91
     1.000   0   0.000  -3.000                        -28.48
     1.000   0   0.000  -4.000                        -41.20
     2.000   0   0.000  -1.000                        -9.00
     2.000   0   0.000  -6.000                        -57.8
     0.000   0   0.000  -1.000                        -14.00
     0.000   0   1.000   1.000                        +11.74
     0.000   0   1.000   2.000                        +17.46
     0.000   0   1.000   3.000                        +19.46
     0       1   1       0                             6.46
     0       1   1       1                             13.04
